commune,surface_m2,nbr_chambres,etage,type_logement,distance_centre_km,annee_construction,etat,parking,gardiennage,prix_fcfa
Port-Bouet,43,2,2,Villa,2.3,2009,Bon état,1,1,5700000
Yopougon,92,4,2,Villa,2.4,1989,Bon état,1,1,15800000
Koumassi,109,2,1,Appartement,5.4,1998,Bon état,1,0,19000000
Cocody,93,2,1,Studio,8.5,2021,À rénover,1,0,21500000
Port-Bouet,170,1,1,Appartement,1.0,1995,Bon état,0,1,31600000
Plateau,73,2,2,Duplex,1.5,1992,Bon état,0,1,27700000
Yopougon,103,3,3,Villa,2.3,1987,Bon état,0,1,18100000
Koumassi,43,2,2,Appartement,29.1,2010,Bon état,1,0,6400000
Plateau,61,2,0,Studio,4.0,2004,Bon état,1,1,14300000
Marcory,104,2,1,Studio,7.3,2018,Bon état,1,1,22000000
Adjamé,113,2,3,Appartement,2.2,2000,Neuf,0,0,21200000
Adjamé,64,4,1,Appartement,5.4,2017,Bon état,1,0,10300000
Adjamé,71,2,1,Duplex,0.6,2020,Bon état,1,0,10800000
Adjamé,35,5,3,Appartement,0.5,2008,Bon état,1,1,6700000
Abobo,62,2,2,Appartement,5.1,1985,Bon état,1,1,5000000
Marcory,115,2,1,Appartement,4.1,1997,Bon état,1,1,31100000
Yopougon,98,4,3,Studio,1.2,2023,Bon état,1,0,13700000
Plateau,95,2,0,Studio,9.3,2014,Bon état,1,1,38600000
Port-Bouet,76,3,5,Duplex,39.6,2006,Bon état,1,1,13900000
Abobo,74,5,0,Villa,4.0,1984,Bon état,0,0,12800000
Yopougon,53,1,0,Appartement,7.8,1986,Bon état,1,0,7300000
Yopougon,105,1,3,Villa,26.4,1989,Bon état,1,0,13200000
Treichville,91,3,0,Studio,14.2,1989,Bon état,1,1,17400000
Plateau,94,2,2,Appartement,5.0,2007,À rénover,1,0,39800000
Abobo,57,2,3,Appartement,10.7,2015,Bon état,1,0,5000000
Abobo,25,1,3,Appartement,1.1,1989,À rénover,1,0,5000000
Abobo,128,1,5,Villa,5.7,2014,Bon état,1,1,11800000
Cocody,58,3,0,Studio,2.6,2014,Bon état,0,0,22400000
Port-Bouet,48,1,2,Villa,1.4,2016,À rénover,1,0,7900000
Port-Bouet,104,2,0,Duplex,4.4,1999,À rénover,1,0,19700000
Abobo,61,3,1,Appartement,1.1,1992,Bon état,0,0,7900000
Adjamé,125,2,3,Duplex,9.6,1990,Bon état,1,0,14900000
Port-Bouet,100,1,1,Studio,4.9,1998,Bon état,1,1,13900000
Adjamé,104,3,2,Appartement,6.1,2007,Bon état,1,1,19900000
Plateau,37,1,1,Duplex,1.3,2017,Neuf,1,1,13300000
Abobo,135,3,2,Appartement,1.2,1983,Neuf,0,1,20300000
Abobo,84,4,5,Studio,7.0,2016,À rénover,1,0,12200000
Yopougon,61,2,0,Studio,33.6,1998,Neuf,1,1,7300000
Adjamé,79,3,2,Studio,0.8,2016,Neuf,0,0,12100000
Port-Bouet,30,2,3,Villa,2.7,1993,Bon état,0,0,5300000
Port-Bouet,90,2,1,Appartement,16.3,2010,Neuf,1,1,10200000
Yopougon,44,4,0,Villa,0.6,2007,Bon état,1,1,8900000
Cocody,37,4,2,Appartement,16.7,2015,Bon état,1,1,13700000
Treichville,34,2,1,Studio,5.9,2023,Bon état,1,1,8300000
Koumassi,129,3,0,Studio,4.2,2017,Bon état,0,1,16000000
Plateau,54,4,3,Duplex,3.0,1998,Bon état,0,1,27800000
Port-Bouet,159,5,1,Appartement,2.8,2021,Bon état,0,1,44800000
Port-Bouet,56,3,4,Studio,2.9,1980,Bon état,1,1,8300000
Abobo,31,2,3,Duplex,17.3,2002,Bon état,0,0,5000000
Abobo,42,2,2,Studio,10.3,2007,Bon état,1,0,5000000
Yopougon,137,5,0,Appartement,8.9,1983,À rénover,1,1,18100000
Cocody,68,1,1,Appartement,12.8,2020,Bon état,1,0,20400000
Yopougon,56,3,0,Appartement,2.4,1997,Bon état,1,0,9500000
Koumassi,80,2,4,Villa,7.7,2018,Neuf,1,0,11000000
Cocody,95,2,0,Villa,4.9,2004,Bon état,0,0,33800000
Yopougon,129,2,0,Duplex,12.2,1997,Neuf,0,1,13600000
Yopougon,152,5,1,Appartement,3.0,1985,Bon état,0,1,20200000
Abobo,62,1,0,Appartement,8.2,1998,À rénover,1,1,7000000
Port-Bouet,38,3,0,Villa,17.1,1991,Bon état,0,1,7100000
Yopougon,60,1,2,Studio,4.1,2004,Bon état,1,1,7000000
Yopougon,84,2,0,Duplex,0.6,2014,Bon état,0,1,13200000
Adjamé,46,2,0,Studio,5.8,1980,Bon état,0,1,8000000
Yopougon,46,3,1,Appartement,3.4,1984,Bon état,0,0,7800000
Marcory,88,2,2,Villa,8.9,1980,Bon état,1,0,18700000
Yopougon,72,2,2,Studio,24.1,1987,Neuf,1,0,11000000
Plateau,75,1,1,Appartement,5.3,2018,À rénover,1,1,24500000
Plateau,50,2,2,Appartement,5.0,2022,Bon état,1,1,24700000
Yopougon,66,5,1,Appartement,8.5,1997,À rénover,1,1,9900000
Yopougon,46,4,4,Appartement,0.9,1988,Neuf,1,1,9800000
Port-Bouet,115,2,0,Villa,2.3,1984,Bon état,1,0,20000000
Yopougon,124,3,2,Appartement,20.1,1983,Neuf,1,0,14800000
Abobo,29,4,3,Appartement,8.9,2023,Neuf,1,1,5000000
Abobo,46,1,3,Appartement,0.5,2008,Bon état,1,0,5200000
Cocody,35,4,0,Villa,1.8,1980,Bon état,1,1,13700000
Adjamé,53,4,0,Appartement,9.2,2009,Bon état,1,1,11700000
Plateau,71,1,2,Villa,11.6,1980,Bon état,1,1,26100000
Treichville,36,2,0,Appartement,14.7,1982,Bon état,0,0,6700000
Plateau,46,5,3,Appartement,2.8,2001,Bon état,1,1,24400000
Yopougon,45,3,2,Appartement,21.4,1987,Bon état,0,1,6800000
Cocody,82,1,2,Appartement,6.4,1997,Bon état,1,1,25300000
Treichville,76,2,0,Appartement,9.5,2004,Bon état,1,1,10600000
Abobo,51,2,2,Appartement,7.3,1999,Neuf,1,1,6500000
Abobo,81,3,2,Studio,1.0,2010,Bon état,0,0,9300000
Cocody,56,3,3,Villa,26.4,2009,Bon état,0,1,22700000
Koumassi,64,5,0,Appartement,1.0,1995,Bon état,0,1,12900000
Marcory,170,2,0,Appartement,2.4,1981,Neuf,0,0,38000000
Port-Bouet,144,3,1,Duplex,13.4,1996,Bon état,1,0,28700000
Marcory,38,3,0,Villa,7.7,1989,Bon état,1,0,7500000
Plateau,112,2,2,Appartement,14.6,1986,Bon état,1,1,52600000
Cocody,111,2,4,Villa,5.8,2021,Bon état,1,0,43600000
Yopougon,42,5,1,Studio,3.8,1988,À rénover,0,0,7600000
Abobo,111,4,3,Studio,20.4,1996,Bon état,0,1,18800000
Cocody,159,2,0,Appartement,0.5,1988,Bon état,0,1,44000000
Koumassi,42,3,0,Appartement,15.5,1988,Bon état,1,0,6000000
Yopougon,47,2,0,Appartement,2.1,2016,À rénover,1,0,6600000
Abobo,123,3,1,Duplex,15.1,2003,Neuf,1,0,16700000
Yopougon,84,3,4,Villa,1.2,2018,Bon état,0,0,11900000
Yopougon,97,3,0,Appartement,6.9,1990,À rénover,0,0,15800000
Abobo,87,5,2,Duplex,17.5,1987,Bon état,1,1,13200000
Plateau,90,3,1,Duplex,5.1,2004,À rénover,0,1,31100000
Plateau,38,2,4,Duplex,11.0,1981,Bon état,1,1,15500000
Port-Bouet,124,3,0,Studio,13.1,1989,Bon état,0,0,26000000
Treichville,132,2,0,Duplex,10.7,2003,Bon état,0,1,27800000
Yopougon,66,2,0,Appartement,20.8,1995,Bon état,1,1,10900000
Marcory,72,2,1,Studio,4.7,1998,Neuf,0,0,12700000
Adjamé,34,2,0,Studio,1.5,2010,Bon état,1,0,5900000
Yopougon,95,3,3,Appartement,0.5,1990,Bon état,1,1,11800000
Cocody,98,2,2,Appartement,2.3,1985,À rénover,1,1,24700000
Plateau,71,3,2,Duplex,1.2,1985,Bon état,1,0,26100000
Adjamé,129,3,1,Appartement,6.5,2011,Bon état,1,1,19300000
Adjamé,62,2,0,Studio,1.6,2018,À rénover,0,1,9200000
Cocody,98,4,1,Appartement,0.5,1992,Bon état,1,1,32900000
Marcory,44,2,5,Appartement,0.5,1982,Bon état,1,0,10700000
Marcory,73,2,3,Appartement,14.2,2020,Bon état,0,1,15000000
Adjamé,68,3,3,Appartement,7.2,2014,Bon état,1,0,9000000
Cocody,82,2,3,Villa,3.5,2017,Bon état,1,1,29000000
Cocody,61,1,0,Villa,18.0,1996,Bon état,1,1,14900000
Koumassi,69,3,0,Appartement,0.6,1982,Bon état,1,0,11100000
Plateau,111,3,0,Appartement,31.4,2013,Bon état,1,1,48100000
Adjamé,59,2,1,Appartement,7.7,1991,Bon état,1,0,9800000
Marcory,33,5,0,Appartement,1.6,2003,Bon état,1,1,10100000
Cocody,177,3,1,Studio,9.1,1985,Bon état,1,0,61600000
Marcory,147,4,2,Appartement,11.5,2021,Bon état,1,1,31700000
Adjamé,39,1,3,Appartement,4.5,1990,À rénover,1,0,7800000
Port-Bouet,104,3,2,Appartement,15.8,2006,À rénover,0,1,19900000
Koumassi,57,4,4,Appartement,1.3,2003,Bon état,1,1,9700000
Yopougon,84,3,0,Appartement,2.6,1997,Bon état,1,1,14500000
Adjamé,85,3,0,Appartement,0.8,2006,À rénover,1,0,15300000
Marcory,66,2,2,Studio,1.9,2020,Bon état,1,1,15100000
Marcory,50,1,0,Duplex,2.2,2000,Bon état,1,0,13700000
Port-Bouet,52,2,0,Studio,20.0,2013,Neuf,0,1,8600000
Cocody,47,2,1,Appartement,0.7,2012,À rénover,0,1,13500000
Cocody,49,4,0,Appartement,4.5,1997,Bon état,1,1,17300000
Marcory,71,2,1,Villa,6.1,1982,Bon état,1,1,17800000
Cocody,52,5,1,Villa,18.3,2003,Neuf,1,0,14900000
Plateau,104,5,1,Duplex,40.0,1980,Bon état,1,1,33900000
Abobo,155,2,2,Appartement,11.2,1985,Bon état,1,0,16800000
Yopougon,55,2,1,Appartement,28.3,1998,Bon état,0,1,5800000
Port-Bouet,83,4,0,Villa,12.4,2001,Bon état,0,1,15400000
Koumassi,95,5,0,Studio,26.4,2022,Bon état,0,1,18900000
Yopougon,93,2,1,Studio,9.8,1987,Neuf,1,1,11300000
Marcory,77,2,2,Villa,0.7,1984,Bon état,0,0,13100000
Yopougon,107,3,3,Duplex,4.1,1988,Bon état,1,1,16300000
Abobo,94,3,2,Villa,8.3,2000,Bon état,0,0,13500000
Marcory,40,2,0,Duplex,3.5,2007,Neuf,1,1,6400000
Abobo,114,3,2,Duplex,2.6,1983,Bon état,0,1,16300000
Yopougon,115,1,2,Studio,6.9,2003,Neuf,1,0,16800000
Abobo,50,1,1,Appartement,21.7,1987,À rénover,1,0,6300000
Yopougon,75,2,1,Appartement,0.5,1996,Bon état,0,0,12500000
Marcory,104,2,1,Villa,11.7,2013,Bon état,1,1,29900000
Treichville,66,2,2,Appartement,10.3,1999,Bon état,0,0,12800000
Koumassi,126,2,2,Studio,26.6,1995,Bon état,1,1,19400000
Plateau,240,2,0,Appartement,21.4,1989,À rénover,1,1,85100000
Port-Bouet,50,2,2,Appartement,11.5,2013,Neuf,1,0,8600000
Yopougon,37,2,0,Studio,5.9,2022,Bon état,1,0,6400000
Port-Bouet,86,5,0,Appartement,1.8,1989,À rénover,0,1,14500000
Koumassi,106,2,5,Appartement,6.3,2009,Bon état,1,0,14000000
Yopougon,66,2,4,Appartement,11.6,2009,Neuf,1,1,11200000
Cocody,152,3,0,Villa,18.1,2004,Neuf,0,0,56900000
Marcory,38,5,1,Appartement,12.5,2022,Neuf,1,0,9500000
Abobo,104,2,0,Studio,1.7,2020,À rénover,0,1,13900000
Abobo,54,3,1,Appartement,7.3,1986,Bon état,1,0,7200000
Marcory,174,3,3,Duplex,3.2,1999,À rénover,1,1,49500000
Plateau,200,3,4,Appartement,0.5,1996,À rénover,0,1,82100000
Koumassi,50,1,2,Appartement,1.8,1982,Bon état,0,0,8100000
Treichville,56,3,1,Appartement,1.0,2019,Neuf,1,0,17200000
Abobo,113,1,2,Appartement,14.8,2015,Neuf,1,0,13500000
Plateau,61,3,1,Villa,2.4,2005,Bon état,1,0,24900000
Marcory,72,3,4,Appartement,2.7,1989,Bon état,1,1,18500000
Cocody,75,2,3,Appartement,25.7,2013,Bon état,0,1,21400000
Port-Bouet,28,4,2,Villa,3.8,1993,Bon état,1,0,7500000
Cocody,73,1,1,Appartement,0.5,1987,À rénover,1,0,21000000
Abobo,52,4,0,Appartement,2.7,2006,Bon état,1,0,6800000
Marcory,58,2,0,Studio,1.0,1989,Bon état,1,0,11000000
Abobo,152,2,3,Duplex,0.9,1994,À rénover,0,1,21000000
Adjamé,39,1,1,Appartement,0.6,2016,Neuf,0,1,6600000
Koumassi,111,5,1,Appartement,7.2,2001,Bon état,0,0,19000000
Marcory,64,1,1,Duplex,1.7,2010,Neuf,1,0,13900000
Cocody,64,2,3,Appartement,3.6,1981,Neuf,1,1,15000000
Plateau,109,2,0,Duplex,15.8,2010,Bon état,1,0,42300000
Port-Bouet,87,3,3,Appartement,4.4,1993,Bon état,0,1,17200000
Port-Bouet,98,3,3,Studio,19.8,1989,Bon état,0,0,22800000
Abobo,120,1,4,Appartement,5.5,2009,À rénover,0,1,11700000
Abobo,62,2,1,Duplex,4.1,2015,Neuf,1,1,6000000
Adjamé,54,2,0,Appartement,11.1,2019,Bon état,1,0,7600000
Plateau,43,2,1,Villa,0.6,1994,Neuf,0,1,13000000
Port-Bouet,49,2,1,Appartement,0.7,1993,Bon état,1,1,10200000
Yopougon,322,3,0,Appartement,8.4,2010,Bon état,0,0,59800000
Yopougon,137,2,2,Studio,5.3,2008,À rénover,0,0,20200000
Abobo,38,2,1,Villa,12.5,2006,Bon état,0,1,5300000
Cocody,38,2,3,Duplex,19.8,2000,Neuf,0,1,11700000
Plateau,94,5,0,Appartement,3.9,1988,Bon état,0,1,42800000
Adjamé,97,5,2,Studio,7.3,1999,Neuf,0,1,18200000
Cocody,97,4,3,Appartement,5.6,2014,Bon état,1,1,32100000
Abobo,65,2,3,Duplex,32.0,1994,Bon état,1,1,5900000
Marcory,69,1,3,Duplex,14.2,2003,Neuf,1,1,14300000
Yopougon,87,2,2,Appartement,19.4,1995,Bon état,1,0,12100000
Marcory,77,2,4,Studio,2.3,2015,Bon état,0,1,18500000
Yopougon,24,3,1,Studio,11.8,1990,Bon état,1,0,5000000
Adjamé,66,3,1,Appartement,2.5,1987,Neuf,0,0,11200000
Marcory,48,4,0,Villa,1.9,1982,À rénover,1,1,10300000
Abobo,80,4,0,Appartement,23.1,1998,Bon état,1,0,11000000
Yopougon,328,2,0,Studio,0.5,2020,Bon état,0,0,51200000
Adjamé,89,3,0,Appartement,26.9,1982,Bon état,1,0,12800000
Port-Bouet,63,2,0,Appartement,1.3,2015,Bon état,0,1,11000000
Adjamé,117,1,0,Appartement,13.7,2004,Bon état,0,1,18200000
Marcory,94,3,0,Villa,2.6,2015,Bon état,0,1,19500000
Cocody,91,1,4,Studio,3.5,1990,Neuf,0,1,23200000
Marcory,100,2,0,Duplex,2.0,1995,Bon état,0,0,22300000
Abobo,206,2,2,Appartement,7.0,1996,À rénover,0,0,20300000
Cocody,42,3,0,Appartement,3.4,2021,Bon état,0,0,14400000
Yopougon,93,3,4,Villa,8.6,2003,Neuf,1,0,12100000
Abobo,46,2,3,Villa,0.5,1996,Bon état,0,0,6300000
Yopougon,97,4,2,Appartement,0.5,1999,À rénover,0,0,21100000
Koumassi,47,2,2,Appartement,0.8,2001,Bon état,1,0,6200000
Cocody,60,2,0,Villa,4.3,1985,Neuf,1,1,19600000
Cocody,64,3,5,Appartement,13.5,1986,À rénover,0,1,18500000
Adjamé,120,3,3,Studio,17.5,1993,Bon état,0,1,24100000
Yopougon,117,5,3,Villa,2.2,1990,Bon état,1,1,16300000
Adjamé,40,2,2,Studio,6.8,1991,Bon état,0,0,6900000
Yopougon,76,3,1,Villa,11.7,1984,À rénover,1,1,10000000
Marcory,52,3,3,Appartement,2.7,1984,À rénover,0,0,11700000
Koumassi,39,4,0,Studio,4.2,1999,À rénover,1,1,5700000
Koumassi,66,2,2,Villa,5.9,1994,Neuf,1,1,11200000
Adjamé,63,3,0,Appartement,1.2,2005,À rénover,1,1,9600000
Marcory,248,3,4,Villa,0.5,2012,Neuf,0,1,62300000
Abobo,92,2,0,Appartement,1.3,2009,Bon état,1,1,10400000
Yopougon,37,2,0,Studio,7.9,2003,Bon état,0,1,5100000
Cocody,56,2,2,Appartement,0.6,2002,Bon état,1,0,17300000
Port-Bouet,123,3,3,Villa,1.7,1988,Bon état,1,1,20200000
Plateau,209,4,2,Appartement,3.3,1982,Bon état,1,0,93600000
Treichville,33,3,0,Appartement,0.6,2015,À rénover,1,1,8900000
Yopougon,29,3,0,Duplex,1.7,1986,Bon état,0,0,5000000
Plateau,188,3,3,Studio,19.4,2001,Bon état,1,0,89700000
Abobo,90,1,5,Appartement,0.5,1993,À rénover,1,1,12100000
Port-Bouet,48,2,3,Appartement,8.5,2008,Neuf,0,0,7300000
Adjamé,96,2,1,Appartement,3.9,1995,Bon état,0,1,12200000
Koumassi,20,2,4,Villa,8.9,2013,Bon état,0,0,5000000
Adjamé,74,2,1,Studio,7.1,1989,Bon état,1,1,11000000
Adjamé,87,3,1,Villa,2.0,1986,Bon état,1,1,19400000
Port-Bouet,117,2,1,Villa,15.0,2004,Neuf,1,1,20300000
Marcory,44,2,1,Studio,5.4,2006,À rénover,1,0,8400000
Yopougon,77,2,3,Appartement,13.8,1994,Neuf,1,0,9000000
Marcory,46,1,1,Appartement,4.2,2011,Bon état,0,1,10700000
Treichville,84,4,1,Villa,33.4,2007,Neuf,1,0,18100000
Treichville,47,4,0,Duplex,11.8,1988,Bon état,1,0,11100000
Cocody,60,3,0,Studio,27.0,1986,Bon état,1,1,22300000
Adjamé,45,1,2,Villa,5.8,1995,À rénover,1,0,6300000
Port-Bouet,102,3,0,Villa,5.1,2005,Bon état,1,0,18800000
Plateau,113,4,0,Duplex,11.3,2014,Bon état,0,0,48900000
Abobo,66,3,2,Appartement,17.0,1996,À rénover,0,0,9300000
Port-Bouet,75,1,2,Appartement,26.6,2002,Bon état,1,1,13100000
Cocody,36,3,3,Duplex,3.1,1987,Bon état,1,0,11300000
Adjamé,63,4,1,Studio,12.8,1981,Bon état,1,1,11800000
Marcory,72,3,3,Appartement,1.9,2010,Bon état,1,0,15800000
Port-Bouet,273,3,4,Appartement,6.3,2011,À rénover,0,0,39400000
Treichville,42,2,3,Appartement,1.6,2008,Neuf,1,1,9000000
Treichville,153,3,2,Appartement,3.4,1982,Bon état,1,0,43300000
Yopougon,121,1,1,Duplex,21.4,1987,Bon état,1,1,13600000
Port-Bouet,85,3,5,Appartement,1.3,1981,À rénover,0,1,13900000
Port-Bouet,178,1,0,Studio,8.0,2010,À rénover,1,0,24800000
Marcory,89,2,0,Appartement,7.2,2016,Bon état,1,1,21300000
Koumassi,90,2,1,Villa,1.0,1999,Bon état,1,0,14500000
Cocody,72,3,0,Appartement,3.2,2008,Bon état,0,0,22800000
Abobo,136,1,5,Studio,6.6,1996,Bon état,0,0,12900000
Marcory,128,3,2,Villa,1.7,1989,À rénover,1,1,30100000
Plateau,54,3,2,Villa,12.9,2020,À rénover,0,0,16800000
Cocody,38,2,2,Appartement,28.6,2001,À rénover,1,1,11700000
Adjamé,67,1,1,Appartement,1.9,1985,Neuf,1,1,11400000
Yopougon,49,1,0,Appartement,1.7,2022,À rénover,1,0,5200000
Adjamé,71,4,2,Appartement,4.9,2013,À rénover,0,0,10200000
Cocody,137,3,2,Villa,11.0,2010,Bon état,0,1,55000000
Marcory,59,2,1,Villa,2.6,1991,Bon état,1,1,11600000
Abobo,72,1,3,Villa,0.5,1991,Bon état,1,0,9300000
Koumassi,76,3,0,Villa,6.2,1995,Bon état,0,1,12100000
Marcory,113,4,0,Appartement,25.1,2004,À rénover,0,0,27300000
Abobo,24,4,0,Appartement,4.0,2001,Bon état,1,1,5000000
Port-Bouet,54,3,1,Appartement,4.4,2006,Bon état,0,1,8700000
Abobo,82,1,3,Studio,27.8,2003,Bon état,1,1,9200000
Marcory,134,1,3,Villa,9.5,1991,Bon état,1,1,25300000
Cocody,58,1,1,Appartement,10.2,1997,À rénover,1,1,13000000
Port-Bouet,29,2,2,Appartement,6.6,1995,Bon état,1,1,5300000
Cocody,100,1,2,Studio,29.4,1983,Bon état,1,1,26900000
Port-Bouet,54,2,0,Villa,9.3,1991,Neuf,0,0,9100000
Abobo,41,2,0,Villa,18.0,2012,Bon état,1,1,5000000
Port-Bouet,54,4,5,Appartement,9.6,2001,Bon état,1,0,13300000
Koumassi,67,3,2,Appartement,10.6,1997,À rénover,1,0,12300000
Treichville,54,4,5,Duplex,2.7,2012,Bon état,1,0,14600000
Yopougon,24,3,1,Studio,2.9,2006,Bon état,1,0,5000000
Koumassi,115,1,2,Appartement,12.2,2021,Neuf,0,0,11900000
Yopougon,139,3,0,Studio,2.8,1998,Bon état,1,1,27100000
Yopougon,102,2,0,Studio,6.6,1993,À rénover,0,0,14200000
Abobo,42,3,1,Appartement,2.3,2004,Bon état,0,1,5000000
Port-Bouet,67,2,1,Appartement,13.6,2013,Bon état,0,0,12300000
Treichville,73,5,0,Appartement,0.9,2003,Bon état,0,0,21500000
Koumassi,99,2,0,Appartement,14.1,2017,Neuf,0,0,14900000
Yopougon,103,2,0,Villa,7.4,2002,Bon état,0,0,17200000
Yopougon,51,4,2,Appartement,1.7,1984,Bon état,1,1,9600000
Adjamé,77,1,1,Studio,6.2,2023,Bon état,0,1,9700000
Marcory,93,3,0,Duplex,2.7,2015,À rénover,1,0,19400000
Cocody,153,3,0,Appartement,3.1,2003,Bon état,0,0,56800000
Yopougon,105,4,0,Appartement,3.5,2015,Bon état,1,1,10000000
Marcory,109,5,2,Studio,0.5,1984,À rénover,1,0,28100000
Marcory,77,5,0,Studio,34.1,2018,À rénover,1,0,16000000
Marcory,149,1,3,Studio,0.5,1985,Bon état,1,1,27700000
Cocody,90,4,0,Appartement,8.7,2015,Neuf,1,0,29800000
Cocody,48,3,0,Appartement,3.7,1983,Bon état,1,1,14800000
Treichville,149,3,3,Villa,8.3,1989,Bon état,0,1,30100000
Yopougon,104,1,2,Duplex,3.5,1980,Neuf,1,0,11300000
Yopougon,59,3,0,Appartement,9.0,2000,Neuf,0,0,12000000
Adjamé,58,5,3,Duplex,10.5,2019,Neuf,0,1,14700000
Marcory,85,4,1,Appartement,9.4,2018,Bon état,0,0,17400000
Treichville,93,2,3,Duplex,1.0,2016,Bon état,1,1,23600000
Koumassi,81,1,2,Villa,8.6,1982,Bon état,1,1,10700000
Cocody,86,2,2,Appartement,2.6,2010,Neuf,1,0,26500000
Yopougon,172,4,5,Villa,0.5,2006,Bon état,1,1,27500000
Port-Bouet,126,3,0,Appartement,4.3,1996,Bon état,0,0,21100000
Treichville,81,2,2,Appartement,4.5,2002,Bon état,1,0,19100000
Yopougon,118,1,1,Appartement,5.0,1992,Bon état,1,1,15600000
Abobo,44,2,0,Appartement,9.8,2006,Bon état,1,1,5000000
Plateau,90,2,0,Appartement,3.0,1999,Bon état,1,1,27400000
Treichville,182,4,0,Studio,3.0,1992,Bon état,1,0,37100000
Marcory,66,3,2,Villa,0.5,2023,Bon état,1,1,11500000
Treichville,48,2,2,Appartement,9.3,2003,Bon état,0,0,9900000
Adjamé,53,3,2,Studio,6.7,2020,Bon état,0,1,7600000
Abobo,43,1,0,Villa,3.4,1982,Neuf,0,1,5000000
Abobo,50,5,1,Duplex,9.8,2022,Bon état,0,1,8800000
Marcory,61,2,4,Villa,6.2,1989,Bon état,1,1,15500000
Plateau,36,2,1,Appartement,5.1,1980,Neuf,1,1,13500000
Marcory,74,2,2,Appartement,5.7,1992,Neuf,1,1,15800000
Plateau,116,3,3,Villa,8.1,1993,À rénover,1,1,60400000
Koumassi,47,3,3,Appartement,8.6,2012,Bon état,1,1,8200000
Yopougon,158,3,1,Appartement,2.7,1981,Bon état,0,1,22700000
Cocody,95,2,3,Appartement,1.2,1981,Bon état,0,1,22600000
Treichville,123,2,1,Appartement,1.4,2018,Neuf,1,1,26700000
Port-Bouet,53,1,3,Appartement,8.2,2020,Bon état,1,0,9500000
Port-Bouet,113,3,0,Appartement,16.5,2010,Neuf,1,0,19000000
Treichville,43,1,0,Appartement,4.2,1983,Bon état,0,1,8500000
Plateau,115,3,0,Villa,1.5,2013,Neuf,1,0,44100000
Yopougon,80,4,3,Villa,11.3,1998,Bon état,0,1,12500000
Koumassi,97,4,1,Appartement,14.3,2016,Bon état,1,0,10600000
Adjamé,41,2,0,Appartement,17.0,1988,Bon état,1,0,6400000
Plateau,47,2,0,Appartement,7.5,2003,Neuf,0,1,20300000
Koumassi,99,1,4,Appartement,15.8,1992,Bon état,0,1,12500000
Marcory,46,3,3,Appartement,0.5,2023,Bon état,0,0,10800000
Marcory,93,4,2,Appartement,0.9,2009,Bon état,0,1,20400000
Abobo,37,2,2,Villa,0.8,1998,Bon état,1,1,5000000
Abobo,113,2,1,Villa,10.0,2020,Bon état,0,0,13000000
Abobo,40,4,1,Appartement,0.6,1989,Bon état,1,0,5000000
Cocody,97,4,4,Appartement,5.5,2021,Bon état,0,0,40400000
Port-Bouet,101,2,0,Villa,5.1,2023,À rénover,1,0,19900000
Marcory,52,3,1,Studio,3.0,1993,Neuf,1,0,11000000
Plateau,99,2,1,Studio,16.3,2019,Neuf,1,0,40200000
Port-Bouet,84,1,1,Villa,1.5,1999,Bon état,1,0,14500000
Treichville,56,4,1,Appartement,3.5,1983,À rénover,0,1,14500000
Port-Bouet,45,4,1,Appartement,11.9,2017,À rénover,1,1,6700000
Koumassi,28,3,0,Studio,0.5,2023,Bon état,0,1,5200000
Adjamé,88,1,1,Appartement,8.9,2018,Bon état,0,0,12100000
Abobo,34,4,0,Duplex,13.6,1984,Bon état,0,1,5000000
Cocody,77,2,0,Villa,21.5,2021,Bon état,1,1,32500000
Yopougon,65,2,0,Villa,16.7,2011,Bon état,1,1,9500000
Yopougon,103,3,3,Appartement,3.1,1985,À rénover,1,1,14600000
Marcory,63,1,1,Villa,7.1,1993,Bon état,1,1,8400000
Adjamé,63,3,2,Appartement,0.6,1985,Bon état,0,1,13200000
Yopougon,106,3,2,Appartement,2.4,1993,Bon état,1,1,12800000
Cocody,87,2,2,Appartement,0.8,1991,Bon état,1,0,22300000
Marcory,86,2,1,Studio,3.0,2006,Bon état,1,0,17700000
Adjamé,93,2,1,Villa,16.6,2005,Bon état,1,0,18300000
Cocody,34,1,1,Appartement,3.4,1991,Neuf,0,0,10600000
Port-Bouet,108,3,2,Appartement,6.6,1987,Neuf,0,0,19600000
Yopougon,100,4,1,Villa,4.5,1989,Bon état,1,1,16900000
Yopougon,44,1,3,Villa,4.9,1995,À rénover,0,0,5200000
Abobo,65,1,3,Villa,27.9,2005,Bon état,0,1,7300000
Koumassi,72,3,0,Villa,2.8,1987,Bon état,1,1,11800000
Yopougon,69,4,0,Appartement,7.9,2020,Bon état,1,0,12700000
Adjamé,87,2,2,Villa,4.4,2008,Neuf,1,0,16100000
Abobo,151,2,1,Appartement,0.5,1999,À rénover,1,0,19300000
Marcory,127,3,0,Duplex,5.4,1996,À rénover,1,1,27900000
Port-Bouet,38,2,3,Villa,13.4,1998,Neuf,0,1,7300000
Koumassi,101,1,0,Appartement,0.8,1996,Bon état,1,0,13900000
Adjamé,143,3,4,Appartement,0.6,2018,Bon état,1,1,20800000
Port-Bouet,89,3,2,Studio,1.3,1980,À rénover,0,1,15500000
Port-Bouet,127,3,3,Appartement,11.6,2008,Bon état,0,0,23900000
